매장명,주소,위도,경도
장한평역점,"서울특별시 성동구 천호대로 380-7, 용답동 동우리즈힐스 101호",,
정자역점,경기도 성남시 분당구 정자동 25-1 분당인텔리지1 제1층 킨스타워 101호,,
종각센트로폴리스점,서울특별시 종로구 우정국로 26 센트로폴리스,,
중계은행사거리점,서울특별시 노원구 중계동 359-9,,
중앙대점,서울특별시 동작구 흑석로 85,,
진주보건대점,"경남 진주시 창렬로 104, 1층",,
진주평거점,"경상남도 진주시 순환로 529, 1층 103호",,
청담디아트점,"서울특별시 강남구 압구정로79길 32, 104-2호",,
청주금천점,충청북도 청주시 상당구 수영로289,,
청주지웰시티몰점,"충청북도 청주시 흥덕구 대농로 47-1, 1층 102호",,
청진타워8점,서울시 종로구 청진동 128,,
충무로역점,"서울특별시 중구 수표로 6길, 45, 1,2,3층 (충무로3가)",,
충무로점,서울특별시 중구 필동2가 21-1,,
충주시청점,"충청북도 충주시 국원대로 206, 1층",,
테헤란로점,서울 강남구 역삼동 718-2,,
통영미수점,"경상남도 통영시 미수해안로 36, 상가동 1층 104호",,
통일점,평양시 천리마대로 1,,
파인에비뉴점,서울시 중구 을지로2가 203,,
페럼타워점,서울특별시 중구 수하동 66,,
평촌학원가점,"경기도 안양시 동안구 평촌대로 121, 1층 101호",,
포스코사거리점,서울 강남구 테헤란로 447,,
포이사거리점,서울시 서초구 양재동 276-6,,
학동역점,서울 강남구 논현동 87-5,,
한티역점,"서울 강남구 선릉로311, 한티빌딩 1층",,
합정역점,서울 마포구 양화로 72,,
홍대입구역사거리점,서울 마포구 양화로 129,,
회기역사거리점,서울 동대문구 회기로 176 (회기동81),,
AK금정점,경기도 군포시 금정동 689번지 AK플라자 금정점 2층,,
가산하이엔드10차점,,,
가산KM타워점,,,
거제옥포점,"경남 거제시 거제대로 3730, 2층 205호 206호",,
압구정CGV점,"서울특별시 강남구 논현로 848, 압구정CGV 지상 1층(신사동)",,
온양농협이순신점,,,
이천안흥점,,,
판교H스퀘어점,경기도 성남시 분당구 삼평동 681 엔동 1층 107호,,
